Juris,Date,Call#,CFS,Location,Sex,Race,Age,Residence,Reason for the Stop,Disposition,Race
SH,09/09/19 08:09,19.009580,TS,"1700BLK E Capitol Dr;SH, Shorewood, WI 53211",F,A,33,"Shorewood, WI",No seatbelt,CIT,A
SH,09/16/19 10:23,19.009868,TS,"3800BLK N Maryland Ave;SH, Shorewood, WI 53211",M,A,25,"Milwaukee, WI",Expired registration,CIT,A
SH,09/25/19 11:00,19.010273,TS,"3300BLK N Oakland Ave, WI 53211",M,A,43,"Shorewood, WI",Failure to yield right of way,CIT,A
SH,09/03/19 12:49,19.009324,TS,"4000 N Wilson Dr,LOT;SH, Shorewood, WI 53211",F,B,19,"Glendale, WI",Registration check showed owner has suspended license ,CIT,B
SH,09/03/19 13:15,19.009326,TS,"3900BLK N Prospect Ave;SH, Shorewood, WI 53211",F,B,22,"Milwaukee, WI",No license plate displayed,CIT,B
SH,09/03/19 16:25,19.009336,TS,"1900BLK E Capitol Dr;SH, Shorewood, WI 53211",M,B,31,"Milwaukee, WI",No seatbelt,CIT,B
SH,09/03/19 17:50,19.009341,TS,"3800BLK N Maryland Ave;SH, Shorewood, WI 53211",F,B,20,"Milwaukee, WI",No seatbelt,CIT,B
SH,09/04/19 07:40,19.009349,TS,"3500BLK N Oakland Ave;SH, Shorewood, WI 53211",M,B,41,"Milwaukee, WI",Broken windshield,CIT,B
SH,09/04/19 08:33,19.009356,TS,"E. Capitol Dr/N. Richards St. , Milwaukee, WI 53211",F,B,23,"Milwaukee, WI",No seatbelt,CIT,B
SH,09/04/19 11:52,19.009370,TS,"3800BLK N Morris Blvd;SH, Shorewood, WI 53211",F,B,28,"Milwaukee, WI",Illegal turn,CIT,B
SH,09/04/19 16:56,19.009385,TS,"3500BLK N Oakland Ave;SH, Shorewood, WI 53211",M,B,32,"Milwaukee, WI",Suspended registration,CIT,B
SH,09/05/19 16:34,19.009432,TS,"3800BLK N Maryland Ave;SH, Shorewood, WI 53211",M,B,20,"Glendale, WI",Display false registration,CIT,B
SH,09/06/19 02:45,19.009464,TS,"4000BLK N Humboldt Ave, Milwaukee, WI 53211",M,B,30,"Milwaukee, WI",Speeding,CIT,B
SH,09/07/19 20:22,19.009534,TS,"3600BLK N Oakland Ave;SH, Shorewood, WI 53211",M,B,55,"Milwaukee, WI",Defective brake light,CIT,B
SH,09/10/19 16:23,19.009644,TS,"1325 E Capitol Dr,LOT;SH, Shorewood, WI 53211",M,B,30,"Milwaukee, WI",No license plate displayed,CIT,B
SH,09/12/19 12:54,19.009704,TS,"2000BLK E Capitol Dr;SH, Shorewood, WI 53211",F,B,31,"Shorewood, WI",Expired registration,CIT,B
SH,09/14/19 19:53,19.009806,TS,"3900BLK N Morris Blvd;SH, Shorewood, WI 53211",M,B,34,"Milwaukee, WI",Illegal turn,CIT,B
SH,09/15/19 19:47,19.009844,TS,"3500BLK N Oakland Ave;SH, Shorewood, WI 53211",F,B,30,"Milwaukee, WI",Illegal turn,CIT,B
SH,09/17/19 00:15,19.009893,TS,"3800BLK N Oakland Ave;SH, Shorewood, WI 53211",M,B,23,"Milwaukee, WI",Speeding,CIT,B
SH,09/19/19 18:57,19.010009,TS,"4000BLK N Morris Blvd;SH, Shorewood, WI 53211",F,B,40,"Milwaukee, WI",No license plate displayed,CIT,B
SH,09/19/19 21:21,19.010019,TS,"3600BLK N Oakland Ave;SH, Shorewood, WI 53211",M,B,54,"Milwaukee, WI",Non-registration of vehicle,CIT,B
SH,09/19/19 22:22,19.010026,TS,"4100BLK N Stowell Ave;SH, Shorewood, WI 53211",M,B,24,"Milwaukee, WI",Non-registration of vehicle,CIT,B
SH,09/20/19 13:29,19.010042,TS,"3900BLK N Oakland Ave;SH, Shorewood, WI 53211",F,B,44,"Milwaukee, WI",Expired registration,CIT,B
SH,09/20/19 21:12,19.010067,TS,"3900BLK N Oakland Ave;SH, Shorewood, WI 53211",F,B,22,"Milwaukee, WI",Display false registration,CIT,B
SH,09/21/19 10:24,19.010096,TS,"1700BLK E Kenmore Pl;SH, Shorewood, WI 53211",M,B,30,"Whitefish Bay, WI",Non-registration of vehicle,CIT,B
SH,09/21/19 22:42,19.010114,TS,"1300BLK E Capitol Dr;SH, Shorewood, WI 53211",F,B,42,"Milwaukee, WI",Speeding,CIT,B
SH,09/22/19 05:43,19.010124,TS,"1100BLK E Capitol Dr;SH, Shorewood, WI 53211",F,B,19,"Milwaukee, WI",Speeding,CIT,B
SH,09/24/19 01:15,19.010207,TS,"1700BLK E Capitol Dr;SH, Shorewood, WI 53211",F,B,54,"Milwaukee, WI",Display false registration,CIT,B
SH,09/24/19 02:47,19.010210,TS,"3700BLK N Oakland Ave;SH, Shorewood, WI 53211",M,B,26,"Milwaukee, WI",Speeding,CIT,B
SH,09/25/19 06:05,19.010263,TS,1100BLK E Capitol Dr;SH,M,B,21,"Milwaukee, WI",Speeding,CIT,B
SH,09/25/19 21:08,19.010294,TS,"1100BLK E Capitol Dr;SH, Shorewood, WI 53211",M,B,20,"Dayton, OH",Speeding,CIT,B
SH,09/27/19 05:49,19.010347,TS,"1500BLK E Capitol Dr;SH, Shorewood, WI 53211",F,B,61,"Milwaukee, WI",Speeding,CIT,B
SH,09/27/19 10:29,19.010357,TS,"1600BLK E Capitol Dr;SH, Shorewood, WI 53211",F,B,23,"Milwaukee, WI",Expired registration,CIT,B
SH,09/27/19 11:55,19.010360,TS,1100BLK E Capitol Dr;SH,M,B,27,"Milwaukee, WI",Display false registration,CIT,B
SH,09/30/19 23:56,19.010456,TS,"3900BLK N Cramer St;SH, Shorewood, WI 53211",M,B,21,"Milwaukee, WI",Speeding,CIT,B
SH,09/01/19 22:06,19.009257,TS,"1000BLK E Capitol Dr, Milwaukee, WI 53211",M,W,28,"Milwaukee, WI",Registration check showed owner has suspended license ,CIT,W
SH,09/02/19 00:03,19.009268,TS,"2000BLK E Capitol Dr;SH, Shorewood, WI 53211",M,W,25,"Shorewood, WI",Defective headlight,CIT,W
